Province,ICA,Drugarrested,ADR,RArrested,CArrested
EAZ,135.6,18.9,2.1,24.6,5.99
WAZ,88.39,39.01,1.7,36.07,4.3
ARD,180.05,17.93,1.71,42.67,8.34
ESF,202.71,91.74,1.8,57.51,7.43
ALB,222.24,42.4,1.05,60.42,1.78
ILM,156.94,12.96,2.09,37.54,69.53
BSH,127.4,120.57,2.6,29.32,0.08
TEH,281.99,33.21,0.65,77.53,17
CHR,22.05,38.24,2.13,36.24,15.75
SKH,119.87,1358.85,3.12,47.79,9.54
KHR,257.86,51.77,1.49,75.35,8.4
NKH,116.03,32.38,2.93,46.99,0.68
KHZ,76.7,23.68,1.72,41.13,0.36
ZAN,136.5,21.43,2.58,35.26,3.72
SEM,233.91,137.86,3.73,39.84,6.08
SVB,13.68,698.49,3.59,34.63,4.93
FRS,151.5,113.46,2.81,28.91,7.32
GHZ,80.05,37.28,2.22,60.67,5.28
Qom,268.46,33.04,1.89,52.32,43.75
KRD,77.98,8.94,2.59,22.75,4.32
KRN,45.36,531.06,3.16,42.8,12.64
KRS,38.44,21.79,1.97,56.17,11.19
KVB,209.85,141.36,2.98,30.79,2.82
GLS,116.2,60.95,1.96,44.85,27.98
GLN,72.24,18.84,2.07,64.65,1.4
LRS,76.86,54.1,2.32,52.27,1.28
MZN,122.57,19.14,1.74,66.89,29.18
MRK,239.27,59.88,3.85,70.35,8.48
HRM,39.95,548.9,2.33,56.67,5.02
HMD,119.98,30.74,2.11,50.07,1.93
YZD,205.12,430.81,2.28,44.49,1.2
