Province,HEU,HER
EAZ,0.3366,0.172671700131798
WAZ,0.363502678477644,0.164409469538117
ARD,0.368584891440405,0.20769615377493
ESF,0.470546574042319,0.269515058626339
ALB,0.523573731364551,0.46128994410843
ILM,0.426941057602203,0.245772760988803
BSH,0.381620218790551,0.221698518129044
TEH,0.607552193133466,0.497024634704359
CHR,0.344920148373022,0.170204368903301
SKH,0.308745270011983,0.166591062478563
KHR,0.459801837543313,0.191214224870968
NKH,0.461605444403211,0.304784502372749
KHZ,0.355168831168831,0.190661895817034
ZAN,0.372198633570806,0.171743643950578
SEM,0.42343608663662,0.297163924377197
SVB,0.366485921998634,0.358391695639878
FRS,0.511923470927665,0.234874828298828
GHZ,0.443116695220297,0.290109401377461
Qom,0.396584229363212,0.283544051104605
KRD,0.386606628098845,0.166014197830728
KRN,0.379556425421842,0.326240440741158
KRS,0.427941674393696,0.253612532667487
KVB,0.266259310499029,0.200175230458736
GLS,0.387872882111952,0.243772163496615
GLN,0.499334230622512,0.370119621719797
LRS,0.408249673042726,0.260034235409195
MZN,0.436714686828487,0.26462383487372
MRK,0.328520279302445,0.207396826622399
HRM,0.417890468495171,0.258512769626061
HMD,0.510520027876415,0.244932489215082
YZD,0.37530341935603,0.337333904843549
