Province,Hbration,RuralHCentersRatio,LE,Bathroom R,Bathroom U,Kitchen R,Kitchen U
EAZ,19.4,1.44,74.2,97.74,100,97.52,100
WAZ,16,1.05,73.95,99.84,100,99.76,100
ARD,19.4,1.6,73.45,94.33,99.82,93.83,98.49
ESF,17.4,1.67,75,99.48,99.89,99.36,99.55
ALB,10.4,0.75,76.2,99.54,100,99.9,99.72
ILM,17.5,1.26,71.25,99.37,99.61,98.56,99.44
BSH,12.5,0.91,72.25,99.72,100,99.35,99.58
TEH,16.5,0.65,76.05,99.62,99.63,99.81,99.5
CHR,18.2,2.08,72.6,96.53,99.75,89.82,98.46
SKH,17.2,1.93,72.35,92.29,99.59,90.36,99.39
KHR,15.8,1.37,74.15,98.17,99.82,99.08,99.54
NKH,17.6,1.84,71.2,94.03,98.88,86.83,96.44
KHZ,18,1.23,72.6,99.85,100,99.45,100
ZAN,19.7,1.9,74.5,98.29,99.91,92.98,99.42
SEM,22.5,1.8,74.65,98.8,99.72,100,100
SVB,12.4,1.26,67.45,74.45,94.21,66.38,82.63
FRS,19.3,1.45,74.2,99.07,99.38,98.82,99.2
GHZ,16.3,1.37,73.55,100,100,100,100
Qom,16.2,1.5,73.55,98.97,99.68,99.49,99.68
KRD,17.4,1.62,72.35,98.49,100,97.92,99.79
KRN,17.8,1.15,73.25,76.36,96.94,75.18,95.87
KRS,17.1,1.44,72.85,97.39,100,95.69,100
KVB,24,1.6,72.15,99.01,99.9,96.35,99.61
GLS,15.7,1.12,72.5,98.71,99.63,98.35,99.5
GLN,15.4,1.12,74.3,98.98,99.75,100,99.75
LRS,17.6,1.37,72.8,96.17,99.55,96.22,99.65
MZN,17.5,1.56,75.25,98.74,99.71,98.28,99.09
MRK,16.5,2.19,74.8,99.42,98.86,98.61,99.67
HRM,14.3,1.26,71.8,97.55,99.31,98.24,96.98
HMD,17,1.44,73.4,97.77,99.91,99.77,99.91
YZD,22.8,2.07,74.95,99.27,100,99.73,100
